City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
421,Roald,NO,81.16,broken clouds,62.5833,6.1333,Flem Cabins
422,Boa Vista,BR,76.98,overcast clouds,2.8197,-60.6733,Aipana Plaza Hotel
423,Tevaitoa,PF,77.49,clear sky,-16.7833,-151.5,Hôtel Raiatea Lodge
426,Fonte Boa,BR,75.54,light rain,-2.4959,-66.2662,
428,Soure,BR,80.56,overcast clouds,-0.7167,-48.5233,Casarão da Amazônia
429,Contai,IN,84.16,overcast clouds,21.7786,87.7536,PATHFINDER
431,Lonavale,IN,77.04,overcast clouds,18.75,73.4167,The Lagoona Resort
433,Faya,SA,82.51,overcast clouds,18.3851,42.4509,مقبرة ال مجمل
435,Palm Coast,US,83.03,overcast clouds,29.585,-81.2078,Hammock Beach Golf Resort & Spa
437,Ibanda,TZ,85.44,clear sky,-2.7974,32.4746,Lahe Hotel Mwanza
439,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
442,Tanah Merah,MY,84.02,overcast clouds,5.8,102.15,Humaira Hotel
444,Sao Miguel Do Araguaia,BR,82.13,few clouds,-13.275,-50.1628,Hotel Executivo Palace
451,Colares,PT,78.46,few clouds,38.7992,-9.4469,Arribas Sintra Hotel
453,Jutai,BR,78.84,overcast clouds,-5.1833,-68.9,
454,Pitimbu,BR,79.39,clear sky,-7.4706,-34.8086,Reserva do Abiaí
457,Neiafu,TO,75.88,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
459,Omaha,US,78.51,broken clouds,41.2586,-95.9378,DoubleTree by Hilton Hotel Omaha Downtown
460,Umm Lajj,SA,89.74,clear sky,25.0213,37.2685,Moon light Furnished Units
463,Arvika,SE,79.5,overcast clouds,59.6553,12.5852,Clarion Collection Hotel Bristol
464,Honghu,CN,77.97,broken clouds,29.8206,113.4621,文泉花园酒店
466,Can,TR,85.21,few clouds,40.0333,27.0524,Can Ogretmenevi
467,Savalou,BJ,82.22,light rain,7.9281,1.9756,Hotel F&F
471,Puerto Escondido,MX,78.51,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
476,Bubaque,GW,78.78,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
478,Acapulco,MX,78.62,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
480,Pokhara,NP,78.04,overcast clouds,28.2333,83.9833,Butterfly Lodge
484,Tongren,CN,75.87,light rain,27.7172,109.1853,Fanjing Mountain International Conference Center
485,Zhangye,CN,84.04,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
487,Madimba,TZ,80.91,scattered clouds,-10.4,40.3333,
489,Benguela,AO,76.26,scattered clouds,-12.5763,13.4055,Hotel Praia Morena
490,Palasa,IN,83.5,overcast clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
493,Alappuzha,IN,78.96,few clouds,9.49,76.3264,Panoramic Sea Resort
494,Cockburn Town,TC,82.02,clear sky,21.4612,-71.1419,Osprey Beach Hotel
495,Kollam,IN,80.47,light rain,8.8833,76.6,Nani Hotels and Resorts
497,Dubovskoye,RU,85.3,clear sky,47.4092,42.7575,Anzhi
500,Mindelo,CV,80.15,scattered clouds,16.8901,-24.9804,Hotel Gaudi
501,Haikou,CN,80.73,clear sky,20.0458,110.3417,Sun City Restaurant
506,Gigmoto,PH,82.44,scattered clouds,13.7796,124.39,Cj's Travellers Inn
509,Salinopolis,BR,82.85,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
513,Jinchang,CN,85.23,overcast clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
515,Pangkalanbuun,ID,76.55,clear sky,-2.6833,111.6167,Grand Kecubung Hotel
516,Honiara,SB,77.97,overcast clouds,-9.4333,159.95,Heritage Park Hotel
518,Yashkul,RU,89.58,clear sky,46.1711,45.3435,Bon Voyazh
521,Nortelandia,BR,85.32,scattered clouds,-14.4547,-56.8028,Hotel Karysmã
522,Turek,PL,80.98,clear sky,52.0155,18.5005,Polbau GmbH Sp. z o.o.
523,Placerville,US,77.92,overcast clouds,38.7296,-120.7986,Historic Cary House Hotel
526,Pasir Gudang,MY,86.36,broken clouds,1.4584,103.8805,Swan Garden Hotel
527,Skarzysko-Kamienna,PL,81.16,overcast clouds,51.1131,20.8716,Komes
529,Kantilo,IN,85.86,broken clouds,20.35,85.1833,Hostel Building at Kantilo Nilamadhaba Mahavidyalaya
530,Katsuura,JP,84.11,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
532,Kapasan,ID,77.5,clear sky,-6.7773,111.3789,Perum Perhutani Kph Mantingan
535,Alugan,PH,83.77,clear sky,12.2188,125.4808,JM Lodge
536,Forio,IT,89.42,clear sky,40.7342,13.8646,Hotel Terme Providence
537,Bac Lieu,VN,82.04,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
538,Ponta Delgada,PT,75.92,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
541,Kakamega,KE,77.52,broken clouds,0.2842,34.7523,Amazon Bed & Breakfast
542,Tateyama,JP,84.02,clear sky,34.9833,139.8667,Tateyama Seaside Hotel
543,Hurricane,US,76.71,overcast clouds,37.1753,-113.2899,Super 8 by Wyndham Hurricane Zion National Park
547,Merritt Island,US,79.09,mist,28.5392,-80.672,
548,Port Moresby,PG,78.22,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
549,Mucurapo,TT,86.02,overcast clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
551,Manggar,ID,82.11,clear sky,-2.8833,108.2667,Guest Hotel
